# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
     862    15.5          -8.76       -12.8342              0      0.0407422
     862    16.5          -9.34       -13.3099              0      0.0396992
     862    17.5          -9.71       -13.4423              0      0.0373233
     862    18.5       -9.86998       -13.3404              0      0.0347038
     862    19.5       -9.83007       -12.9316              0      0.0310148
     862    20.5       -9.57984       -12.2477              0      0.0266788
     862    21.5       -9.13021       -11.2989              0      0.0216868
     862    22.5       -8.44982       -9.99832              0       0.015485
     862    23.5       -7.62006       -8.64021              0      0.0102015
     862    24.5       -6.78012       -7.38458              0     0.00604457
     862    25.5       -5.96976       -6.21138              0     0.00241619
     862    26.5       -5.18022        -5.0905              0    0.000897187
     862    27.5       -4.40991        -4.0236              0     0.00386305
     862    28.5       -3.66998       -3.02945              0     0.00640531
     862    29.5       -2.96006       -2.08489              0      0.0087517
     862    30.5       -2.27994       -1.20121              0      0.0107873
     862    31.5       -1.63004      -0.365797              0      0.0126425
     862    32.5       -1.00996       0.416495             -0      0.0142646
     862    33.5       -0.41903        1.15435             -0      0.0157338
     862    34.5       0.136024        1.82493              0       0.016889
     862    35.5       0.657976        2.45561              0      0.0179763
     862    36.5        1.15003         3.0367              0      0.0188667
     862    37.5        1.60996         3.5712              0      0.0196124
     862    38.5        2.05004        4.09143              0      0.0204139
     862    39.5        2.44999        4.51814              0      0.0206816
     862    40.5        2.82996         4.9677              0      0.0213774
     862    41.5        3.18012        5.32519              0      0.0214507
     862    42.5        3.49979        5.67775              0      0.0217796
     862    43.5        3.79026        5.96172              0      0.0217146
     862    44.5        4.05973        6.25058              0      0.0219084
     862    45.5        4.31023        6.49281              0      0.0218258
     862    46.5        4.52982        6.69581              0      0.0216598
     862    47.5        4.72012        6.85761              0      0.0213749
     862    48.5        4.88993        7.00518              0      0.0211526
     862    49.5        5.03004        7.09339              0      0.0206336
     862    50.5        5.14997        7.18268              0       0.020327
     862    51.5        5.25005        7.22803              0      0.0197798
     862    52.5        5.31991        7.23561              0      0.0191571
     862    53.5        5.37011        7.22902              0      0.0185892
     862    54.5        5.38992        7.16237              0      0.0177245
     862    55.5        5.39001         7.0996              0      0.0170959
     862    56.5        5.37006        6.99127              0      0.0162121
     862    57.5        5.32988        6.87501              0      0.0154514
     862    58.5        5.26015        6.69554              0      0.0143539
     862    59.5        5.16986        6.52065              0       0.013508
     862    60.5        5.05013        6.27445              0      0.0122432
     862    61.5        4.91986        6.06714              0      0.0114728
     862    62.5        4.76017        5.76278              0      0.0100261
     862    63.5        4.58978        5.51625              0     0.00926468
     862    64.5        4.42027        5.23988              0     0.00819607
     862    65.5        4.24969        4.99532              0      0.0074563
     862    66.5        4.09029        4.76511              0     0.00674822
     862    67.5        3.92978        4.52821              0     0.00598426
     862    68.5        3.78011        4.33095              0     0.00550837
     862    69.5           3.63         4.1061              0     0.00476105
     862    70.5        3.47991        3.90593              0     0.00426019
     862    71.5        3.34014        3.71753              0     0.00377384
     862    72.5        3.19985         3.5218              0     0.00321952
     862    73.5         3.0701        3.36195              0     0.00291849
     862    74.5        2.93997        3.17498              0     0.00235006
     862    75.5        2.81994        3.03764              0     0.00217703
     862    76.5        2.70013        2.86319              0     0.00163053
     862    77.5        2.57982        2.71637              0     0.00136554
     862    78.5         2.4702        2.57785              0     0.00107655
     862    79.5        2.35982         2.4318              0     0.00071976
     862    80.5        2.25012        2.29304              0    0.000429204
     862    81.5        2.14996        2.17486              0    0.000249056
     862    82.5        2.04999        2.04184              0    8.14689e-05
     862    83.5        1.95002        1.91961              0    0.000304122
     862    84.5           1.86        1.81606              0    0.000439396
     862    85.5        1.76997        1.69806              0    0.000719093
     862    86.5        1.68003        1.59081              0    0.000892212
     862    87.5            1.6        1.50173              0    0.000982694
     862    88.5        1.51997        1.39848              0     0.00121482
     862    89.5        1.44003        1.30526              0     0.00134772
     862    90.5           1.36         1.2033              0     0.00156701
     862    91.5        1.28996        1.13536              0     0.00154595
     862    92.5        1.22007        1.04111              0     0.00178964
     862    93.5        1.14991       0.965376              0     0.00184529
     862    94.5        1.09011       0.902507              0     0.00187601
     862    95.5         1.0299       0.828483              0     0.00201413
     862    96.5       0.970071       0.762441              0     0.00207631
     862    97.5       0.913982        0.69942              0     0.00214562
     862    98.5       0.859971       0.639184              0     0.00220787
     862    99.5       0.809047       0.584152              0     0.00224895
     862   100.5       0.759964       0.529319              0     0.00230645
     862   101.5       0.714012       0.481863              0     0.00232148
     862   102.5       0.670009       0.433043              0     0.00236966
     862   103.5       0.628979       0.392405              0     0.00236574
     862   104.5       0.591025       0.352774              0     0.00238251
     862   105.5       0.554976       0.316512              0     0.00238464
     862   106.5        0.52102       0.282167              0     0.00238853
     862   107.5       0.489986       0.253225              0     0.00236761
     862   108.5       0.461008       0.224493              0     0.00236515
     862   109.5       0.434995       0.202666              0     0.00232329
     862   110.5       0.411007       0.180065              0     0.00230942
     862   111.5       0.388989       0.162071              0     0.00226918
     862   112.5       0.370015       0.147613              0     0.00222402
     862   113.5       0.352986       0.134448              0     0.00218538
     862   114.5        0.33901       0.127499              0     0.00211511
     862   115.5       0.326998        0.12006              0     0.00206938
     862   116.5       0.316993       0.117022              0     0.00199971
     862   117.5       0.310013       0.117534              0     0.00192479
     862   118.5       0.303986       0.116717              0     0.00187269
     862   119.5       0.298009       0.115593              0     0.00182416
     862   120.5       0.291998       0.113848              0      0.0017815
     862   121.5       0.284996       0.108725              0     0.00176271
     862   122.5       0.279004       0.108583              0     0.00170421
     862   123.5       0.273001       0.103941              0      0.0016906
     862   124.5        0.26599      0.0995088              0     0.00166481
     862   125.5       0.259017      0.0945338              0     0.00164483
     862   126.5       0.251982      0.0895692              0     0.00162413
     862   127.5       0.245013      0.0844861              0     0.00160527
     862   128.5       0.236994      0.0763938              0       0.001606
     862   129.5       0.229999      0.0731783              0     0.00156821
     862   130.5       0.222007      0.0633676              0     0.00158639
     862   131.5       0.213987      0.0583606              0     0.00155626
     862   132.5        0.20602      0.0496618              0     0.00156358
     862   133.5       0.197975      0.0435345              0     0.00154441
     862   134.5       0.189025      0.0328147              0     0.00156211
     862   135.5       0.180978      0.0280104              0     0.00152967
     862   136.5       0.172019      0.0159703              0     0.00156049
     862   137.5        0.16398      0.0120702              0      0.0015191
     862   138.5       0.155024   -0.000444026             -0     0.00155468
     862   139.5       0.145969    -0.00686451             -0     0.00152834
     862   140.5       0.138035     -0.0150182             -0     0.00153054
     862   141.5       0.128965     -0.0248892             -0     0.00153854
     862   142.5       0.120028     -0.0332589             -0     0.00153287
     862   143.5       0.110985     -0.0430644             -0     0.00154049
     862   144.5       0.102002      -0.051601             -0     0.00153602
     862   145.5      0.0925081     -0.0625537             -0     0.00155062
     862   146.5       0.083388     -0.0708212             -0     0.00154209
     862   147.5       0.074212     -0.0809273             -0     0.00155139
     862   148.5      0.0647893     -0.0904925             -0     0.00155282
     862   149.5      0.0555091      -0.100135             -0     0.00155644
     862   150.5       0.046093      -0.110276             -0     0.00156369
     862   151.5      0.0366041       -0.11986             -0     0.00156464
     862   152.5      0.0270993      -0.130115             -0     0.00157215
     862   153.5      0.0175978      -0.139848             -0     0.00157446
     862   154.5     0.00799391      -0.150275             -0     0.00158269
