# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
   10380    9.48    3.59232e-13    9.62729e-13              0    6.03497e-15
   10380   9.481    1.74683e-12    4.68144e-12              0    2.93461e-14
   10380   9.482     3.9611e-12    1.06156e-11              0    6.65451e-14
   10380   9.483    7.04642e-12    1.88842e-11              0    1.18378e-13
   10380   9.484    1.11094e-11    2.97729e-11              0    1.86635e-13
   10380   9.485    1.62996e-11    4.36825e-11              0    2.73829e-13
   10380   9.486    2.28088e-11    6.11267e-11              0    3.83179e-13
   10380   9.487    3.08652e-11    8.27176e-11              0    5.18524e-13
   10380   9.488     4.0708e-11    1.09096e-10              0     6.8388e-13
   10380   9.489    5.25174e-11    1.40745e-10              0    8.82274e-13
   10380    9.49    6.62734e-11    1.77611e-10              0    1.11337e-12
   10380   9.491    8.15423e-11    2.18531e-10              0    1.36988e-12
   10380   9.492    9.72884e-11    2.60729e-10              0    1.63441e-12
   10380   9.493     1.1195e-10    3.00021e-10              0    1.88072e-12
   10380   9.494    1.23981e-10    3.32264e-10              0    2.08284e-12
   10380   9.495    1.32802e-10    3.55904e-10              0    2.23103e-12
   10380   9.496    1.39191e-10    3.73027e-10              0    2.33836e-12
   10380   9.497    1.44432e-10    3.87074e-10              0    2.42641e-12
   10380   9.498    1.49779e-10    4.01404e-10              0    2.51624e-12
   10380   9.499    1.56121e-10    4.18398e-10              0    2.62277e-12
   10380     9.5    1.63929e-10    4.39323e-10              0    2.75395e-12
   10380   9.501    1.73355e-10    4.64586e-10              0    2.91231e-12
   10380   9.502    1.84354e-10    4.94063e-10              0    3.09709e-12
   10380   9.503    1.96782e-10    5.27369e-10              0    3.30587e-12
   10380   9.504    2.10448e-10    5.63992e-10              0    3.53545e-12
   10380   9.505    2.25151e-10    6.03398e-10              0    3.78246e-12
   10380   9.506    2.40705e-10    6.45082e-10              0    4.04376e-12
   10380   9.507     2.5694e-10    6.88592e-10              0    4.31651e-12
   10380   9.508    2.73722e-10    7.33566e-10              0    4.59844e-12
   10380   9.509    2.90959e-10    7.79759e-10              0    4.88801e-12
   10380    9.51    3.08606e-10    8.27053e-10              0    5.18447e-12
   10380   9.511    3.26682e-10    8.75498e-10              0    5.48815e-12
   10380   9.512    3.45273e-10    9.25319e-10              0    5.80046e-12
   10380   9.513    3.64541e-10    9.76958e-10              0    6.12417e-12
   10380   9.514    3.84739e-10    1.03109e-09              0    6.46348e-12
   10380   9.515    4.06213e-10    1.08864e-09              0    6.82425e-12
   10380   9.516     4.2943e-10    1.15086e-09              0    7.21428e-12
   10380   9.517    4.54984e-10    1.21934e-09              0    7.64358e-12
   10380   9.518    4.83631e-10    1.29612e-09              0    8.12484e-12
   10380   9.519    5.16325e-10    1.38373e-09              0    8.67408e-12
   10380    9.52    5.54259e-10     1.4854e-09              0    9.31137e-12
   10380   9.521    5.98924e-10     1.6051e-09              0    1.00617e-11
   10380   9.522    6.52154e-10    1.74775e-09              0     1.0956e-11
