# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
     862    15.5       -5.96748       -11.5525              0      0.0558505
     862    16.5       -6.50398        -12.176              0      0.0567203
     862    17.5       -6.90084       -12.5192              0      0.0561832
     862    18.5       -7.15649       -12.5835              0      0.0542702
     862    19.5       -7.27102        -12.389              0      0.0511796
     862    20.5       -7.23714       -11.9229              0      0.0468572
     862    21.5       -7.05789       -11.2021              0      0.0414421
     862    22.5       -6.71506       -10.1849              0      0.0346988
     862    23.5       -6.24918       -8.99082              0      0.0274163
     862    24.5       -5.73877       -7.82123              0      0.0208246
     862    25.5       -5.21708       -6.72292              0      0.0150584
     862    26.5       -4.68956       -5.67044              0     0.00980883
     862    27.5       -4.16135       -4.65865              0     0.00497307
     862    28.5       -3.64066       -3.69934              0    0.000586856
     862    29.5       -3.13022       -2.78978              0     0.00340447
     862    30.5       -2.63221       -1.92779              0     0.00704423
     862    31.5       -2.14811       -1.11189              0      0.0103622
     862    32.5       -1.67913      -0.340869              0      0.0133826
     862    33.5        -1.2257       0.387702             -0       0.016134
     862    34.5      -0.792389        1.06439             -0      0.0185678
     862    35.5      -0.378629        1.69463             -0      0.0207326
     862    36.5      0.0163876        2.28361              0      0.0226722
     862    37.5       0.391277        2.82872              0      0.0243745
     862    38.5       0.752144        3.34786              0      0.0259571
     862    39.5        1.08829        3.81171              0      0.0272342
     862    40.5        1.40972        4.25028              0      0.0284057
     862    41.5        1.71098        4.64902              0      0.0293804
     862    42.5        1.99199        5.00801              0      0.0301601
     862    43.5        2.25219        5.32781              0      0.0307562
     862    44.5        2.49674        5.62326              0      0.0312651
     862    45.5        2.72603        5.89397              0      0.0316793
     862    46.5        2.93486        6.12514              0      0.0319027
     862    47.5        3.12268        6.31732              0      0.0319463
     862    48.5        3.29436        6.48564              0      0.0319128
     862    49.5        3.44473        6.61527              0      0.0317053
     862    50.5        3.57899        6.72101              0      0.0314201
     862    51.5        3.69723        6.80277              0      0.0310553
     862    52.5        3.79428        6.84572              0      0.0305143
     862    53.5        3.87506        6.86494              0      0.0298988
     862    54.5        3.93406        6.84594              0      0.0291187
     862    55.5        3.97651        6.80349              0      0.0282698
     862    56.5        4.00246        6.73754              0      0.0273509
     862    57.5        4.01223        6.64777              0      0.0263553
     862    58.5        4.00039        6.51961              0      0.0251921
     862    59.5         3.9718         6.3682              0      0.0239639
     862    60.5        3.92101        6.17899              0      0.0225798
     862    61.5        3.85869        5.98131              0      0.0212263
     862    62.5         3.7745         5.7455              0        0.01971
     862    63.5        3.67916        5.50084              0      0.0182169
     862    64.5        3.57854        5.26146              0      0.0168293
     862    65.5        3.47414        5.02586              0      0.0155172
     862    66.5        3.37232        4.80768              0      0.0143536
     862    67.5        3.26866        4.59134              0      0.0132269
     862    68.5        3.16892        4.39108              0      0.0122217
     862    69.5        3.06815        4.19185              0      0.0112371
     862    70.5        2.96641        3.99359              0      0.0102718
     862    71.5        2.86899        3.81101              0     0.00942025
     862    72.5        2.77105        3.62895              0     0.00857902
     862    73.5        2.67809        3.46191              0     0.00783822
     862    74.5          2.585          3.295              0     0.00710009
     862    75.5        2.49712        3.14288              0     0.00645758
     862    76.5        2.40936        2.99064              0      0.0058128
     862    77.5        2.32161        2.83839              0     0.00516775
     862    78.5        2.23895        2.70105              0     0.00462091
     862    79.5        2.15653        2.56347              0     0.00406939
     862    80.5        2.07423        2.42577              0     0.00351541
     862    81.5        1.99721        2.30279              0     0.00305574
     862    82.5        1.92054        2.17946              0      0.0025892
     862    83.5        1.84412        2.05588              0     0.00211757
     862    84.5        1.77311        1.94689              0     0.00173774
     862    85.5        1.70259        1.83741              0      0.0013481
     862    86.5        1.63238        1.72762              0    0.000952346
     862    87.5        1.56772        1.63228              0     0.00064568
     862    88.5        1.50361        1.53639              0    0.000327821
     862    89.5        1.43996        1.44004              0    8.00133e-07
     862    90.5        1.37644        1.34356              0    0.000328829
     862    91.5        1.31838        1.26162              0     0.00056752
     862    92.5        1.26093        1.17907              0    0.000818598
     862    93.5        1.20399        1.09601              0     0.00107972
     862    94.5        1.15273        1.02727              0     0.00125466
     862    95.5        1.10211       0.957886              0     0.00144228
     862    96.5        1.05212       0.887879              0     0.00164242
     862    97.5        1.00456       0.823437              0     0.00181126
     862    98.5       0.958497       0.761503              0     0.00196995
     862    99.5       0.914522       0.703478              0     0.00211044
     862   100.5       0.872095       0.647905              0     0.00224191
     862   101.5       0.831759       0.596241              0     0.00235519
     862   102.5       0.792993       0.547007              0     0.00245985
     862   103.5       0.756337       0.501663              0     0.00254674
     862   104.5       0.721823       0.460177              0     0.00261646
     862   105.5       0.688953       0.421047              0     0.00267906
     862   106.5       0.657689       0.384311              0     0.00273377
     862   107.5       0.628543       0.351457              0     0.00277086
     862   108.5       0.601057       0.320943              0     0.00280114
     862   109.5       0.575702       0.294298              0     0.00281403
     862   110.5       0.551954       0.270046              0     0.00281909
     862   111.5        0.52988        0.24812              0      0.0028176
     862   112.5       0.509959       0.230041              0     0.00279917
     862   113.5       0.491734       0.214266              0     0.00277469
     862   114.5       0.475676       0.202324              0     0.00273351
     862   115.5        0.46126        0.19274              0     0.00268521
     862   116.5       0.448556       0.185444              0     0.00263112
     862   117.5       0.438041       0.181959              0     0.00256082
     862   118.5       0.428668       0.179332              0     0.00249337
     862   119.5       0.419855       0.176145              0      0.0024371
     862   120.5       0.411325       0.172675              0      0.0023865
     862   121.5       0.402598       0.167402              0     0.00235195
     862   122.5       0.394505       0.163495              0     0.00231009
     862   123.5       0.386651       0.159349              0     0.00227303
     862   124.5       0.378448       0.153552              0     0.00224895
     862   125.5       0.370336       0.147664              0     0.00222673
     862   126.5       0.362304       0.141696              0     0.00220608
     862   127.5       0.354369       0.135631              0     0.00218737
     862   128.5       0.345972       0.128028              0     0.00217944
     862   129.5        0.33815        0.12185              0     0.00216301
     862   130.5       0.329861       0.114139              0     0.00215721
     862   131.5       0.321614       0.106386              0     0.00215228
     862   132.5       0.313384      0.0986161              0     0.00214768
     862   133.5       0.305196       0.090804              0     0.00214392
     862   134.5       0.296498      0.0815019              0     0.00214996
     862   135.5       0.288332      0.0736683              0     0.00214663
     862   136.5       0.279703      0.0642972              0     0.00215406
     862   137.5        0.27159      0.0564098              0      0.0021518
     862   138.5       0.262928      0.0470723              0     0.00215855
     862   139.5       0.254318      0.0376816              0     0.00216637
     862   140.5       0.246246      0.0297543              0     0.00216491
     862   141.5       0.237694      0.0203057              0     0.00217389
     862   142.5       0.229152      0.0108481              0     0.00218304
     862   143.5       0.220592     0.00140812              0     0.00219184
     862   144.5        0.21204    -0.00804038             -0     0.00220081
