# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380     834       -3.39471       -3.39471              0              0
    6380     844       -3.55548       -3.55548              0              0
    6380     845       -3.59663       -3.59663              0              0
    6380     846       -3.63807       -3.63807              0              0
    6380     847       -3.67986       -3.67986              0              0
    6380     848       -3.72209       -3.72209              0              0
    6380     849       -3.76485       -3.76485              0              0
    6380     850       -3.80817       -3.80817              0              0
    6380     851       -3.96325       -3.96325              0              0
    6380     852       -4.00858       -4.00858              0              0
    6380     853       -4.05438       -4.05438              0              0
    6380     854       -4.10067       -4.10067              0              0
    6380     855       -4.14749       -4.14749              0              0
    6380     856       -4.19484       -4.19484              0              0
    6380     857       -4.24272       -4.24272              0              0
    6380     858       -4.29109       -4.29109              0              0
    6380     859       -4.33984       -4.33984              0              0
    6380     860       -4.38891       -4.38891              0              0
    6380     861        -4.4383        -4.4383              0              0
    6380     862       -4.60981       -4.60981              0              0
    6380     863       -4.66068       -4.66068              0              0
    6380     864       -4.71201       -4.71201              0              0
    6380     865       -4.76381       -4.76381              0              0
    6380     866       -4.81605       -4.81605              0              0
    6380     867       -4.86866       -4.86866              0              0
    6380     868        -4.9216        -4.9216              0              0
    6380     869        -4.9749        -4.9749              0              0
    6380     870        -5.0287        -5.0287              0              0
    6380     871       -5.08308       -5.08308              0              0
    6380     872       -5.13813       -5.13813              0              0
    6380     873       -5.19383       -5.19383              0              0
    6380     874       -5.24997       -5.24997              0              0
    6380     875       -5.30615       -5.30615              0              0
    6380     876       -5.36187       -5.36187              0              0
    6380     877       -5.41671       -5.41671              0              0
    6380     878       -5.47079       -5.47079              0              0
    6380     879       -5.52469       -5.52469              0              0
    6380     880       -5.57899       -5.57899              0              0
    6380     881       -5.63431       -5.63431              0              0
    6380     882       -5.82525       -5.82525              0              0
    6380     883       -5.88385       -5.88385              0              0
    6380     884       -5.94267       -5.94267              0              0
    6380     885       -6.00173       -6.00173              0              0
    6380     886       -6.06108       -6.06108              0              0
    6380     887       -6.12069       -6.12069              0              0
    6380     888       -6.18055       -6.18055              0              0
    6380     889       -6.24066       -6.24066              0              0
    6380     890       -6.30104       -6.30104              0              0
    6380     891        -6.3617        -6.3617              0              0
    6380     892       -6.42273       -6.42273              0              0
    6380     893       -6.48419       -6.48419              0              0
    6380     894       -6.54598       -6.54598              0              0
    6380     895       -6.60791       -6.60791              0              0
    6380     896       -6.66975       -6.66975              0              0
    6380     897       -6.73148       -6.73148              0              0
    6380     898       -6.79307       -6.79307              0              0
    6380     899       -6.85457       -6.85457              0              0
    6380     900       -6.91604       -6.91604              0              0
    6380     901       -6.97758       -6.97758              0              0
    6380     902        -7.0393        -7.0393              0              0
    6380     903        -7.1012        -7.1012              0              0
    6380     904       -7.16322       -7.16322              0              0
    6380     905       -7.08628       -7.08628              0              0
    6380     906       -7.14846       -7.14846              0              0
    6380     907       -7.21062       -7.21062              0              0
    6380     908       -7.27271       -7.27271              0              0
    6380     909       -7.33464       -7.33464              0              0
    6380     910       -7.39647       -7.39647              0              0
    6380     911       -7.45824       -7.45824              0              0
    6380     912       -7.51999       -7.51999              0              0
    6380     913       -7.58168       -7.58168              0              0
    6380     914        -7.6433        -7.6433              0              0
    6380     915        -7.7048        -7.7048              0              0
    6380     916       -7.76606       -7.76606              0              0
    6380     917       -7.82691       -7.82691              0              0
    6380     918       -7.88729       -7.88729              0              0
    6380     919       -7.94718       -7.94718              0              0
    6380     920       -8.00657       -8.00657              0              0
    6380     921       -8.06551       -8.06551              0              0
    6380     922       -8.12402       -8.12402              0              0
    6380     923        -8.1821        -8.1821              0              0
    6380     924       -8.23977       -8.23977              0              0
    6380     925       -8.29699       -8.29699              0              0
    6380     926       -8.22764       -8.22764              0              0
    6380     927       -8.28489       -8.28489              0              0
    6380     928       -8.34157       -8.34157              0              0
    6380     929       -8.39766       -8.39766              0              0
    6380     930        -8.4532        -8.4532              0              0
    6380     931       -8.50826       -8.50826              0              0
    6380     932       -8.56288       -8.56288              0              0
    6380     933       -8.61697       -8.61697              0              0
    6380     934       -8.67051       -8.67051              0              0
    6380     935       -8.72359       -8.72359              0              0
    6380     936        -8.7762        -8.7762              0              0
    6380     937       -8.82824       -8.82824              0              0
    6380     938       -8.76499       -8.76499              0              0
    6380     939       -8.81695       -8.81695              0              0
    6380     940       -8.86779       -8.86779              0              0
    6380     941       -8.91699       -8.91699              0              0
    6380     942        -8.9642        -8.9642              0              0
    6380     943       -9.00939       -9.00939              0              0
    6380     944       -9.05314       -9.05314              0              0
    6380     945       -9.09611       -9.09611              0              0
    6380     946       -9.13889       -9.13889              0              0
    6380     947       -9.18147       -9.18147              0              0
    6380     948       -9.12711       -9.12711              0              0
    6380     949       -9.16967       -9.16967              0              0
    6380     950       -9.21155       -9.21155              0              0
    6380     951       -9.25236       -9.25236              0              0
    6380     952        -9.2919        -9.2919              0              0
    6380     953       -9.33013       -9.33013              0              0
    6380     954       -9.36713       -9.36713              0              0
    6380     955       -9.40308       -9.40308              0              0
