# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    3042              0              0           -nan           -nan
    6380    3043              0              0           -nan           -nan
    6380    3044              0              0           -nan           -nan
    6380    3045              0              0           -nan           -nan
    6380    3046              0              0           -nan           -nan
    6380    3047              0              0           -nan           -nan
    6380    3048              0              0           -nan           -nan
    6380    3049              0              0           -nan           -nan
    6380    3050              0              0           -nan           -nan
    6380    3051              0              0           -nan           -nan
    6380    3052              0              0           -nan           -nan
    6380    3053              0              0           -nan           -nan
    6380    3054              0              0           -nan           -nan
    6380    3055              0              0           -nan           -nan
    6380    3056              0              0           -nan           -nan
    6380    3057              0              0           -nan           -nan
    6380    3058              0              0           -nan           -nan
    6380    3059              0              0           -nan           -nan
    6380    3060              0              0           -nan           -nan
    6380    3061              0              0           -nan           -nan
    6380    3062              0              0           -nan           -nan
    6380    3063              0              0           -nan           -nan
    6380    3064              0              0           -nan           -nan
    6380    3065              0              0           -nan           -nan
    6380    3066              0              0           -nan           -nan
    6380    3067              0              0           -nan           -nan
    6380    3068              0              0           -nan           -nan
    6380    3069              0              0           -nan           -nan
    6380    3070              0              0           -nan           -nan
    6380    3071              0              0           -nan           -nan
    6380    3072              0              0           -nan           -nan
    6380    3073              0              0           -nan           -nan
    6380    3074              0              0           -nan           -nan
    6380    3075              0              0           -nan           -nan
    6380    3076              0              0           -nan           -nan
    6380    3077              0              0           -nan           -nan
    6380    3078              0              0           -nan           -nan
    6380    3079              0              0           -nan           -nan
    6380    3080              0              0           -nan           -nan
    6380    3081              0              0           -nan           -nan
    6380    3082              0              0           -nan           -nan
    6380    3083              0              0           -nan           -nan
    6380    3084              0              0           -nan           -nan
    6380    3085              0              0           -nan           -nan
    6380    3086              0              0           -nan           -nan
    6380    3087              0              0           -nan           -nan
    6380    3088              0              0           -nan           -nan
    6380    3089              0              0           -nan           -nan
    6380    3090              0              0           -nan           -nan
    6380    3091              0              0           -nan           -nan
    6380    3092              0              0           -nan           -nan
    6380    3093              0              0           -nan           -nan
    6380    3094              0              0           -nan           -nan
    6380    3095              0              0           -nan           -nan
    6380    3096              0              0           -nan           -nan
    6380    3097              0              0           -nan           -nan
    6380    3098              0              0           -nan           -nan
    6380    3099              0              0           -nan           -nan
    6380    3100              0              0           -nan           -nan
    6380    3101              0              0           -nan           -nan
    6380    3102              0              0           -nan           -nan
    6380    3103              0              0           -nan           -nan
    6380    3104              0              0           -nan           -nan
    6380    3105              0              0           -nan           -nan
    6380    3106              0              0           -nan           -nan
    6380    3107              0              0           -nan           -nan
    6380    3108              0              0           -nan           -nan
    6380    3109              0              0           -nan           -nan
    6380    3110              0              0           -nan           -nan
    6380    3111              0              0           -nan           -nan
    6380    3112              0              0           -nan           -nan
    6380    3113              0              0           -nan           -nan
    6380    3114              0              0           -nan           -nan
    6380    3115              0              0           -nan           -nan
    6380    3116              0              0           -nan           -nan
    6380    3117              0              0           -nan           -nan
    6380    3118    5.08934e-05    5.08934e-05              0              0
    6380    3119    0.000275978    0.000275978              0              0
    6380    3120    0.000610379    0.000610379              0              0
    6380    3121     0.00101835     0.00101835              0              0
    6380    3122     0.00148876     0.00148876              0              0
    6380    3123     0.00201577     0.00201577              0              0
    6380    3124     0.00259595     0.00259595              0              0
    6380    3125     0.00322721     0.00322721              0              0
    6380    3126     0.00390825     0.00390825              0              0
    6380    3127     0.00463834     0.00463834              0              0
    6380    3128     0.00541717     0.00541717              0              0
    6380    3129      0.0062447      0.0062447              0              0
    6380    3130     0.00712116     0.00712116              0              0
    6380    3131     0.00804697     0.00804697              0              0
    6380    3132     0.00902271     0.00902271              0              0
    6380    3133      0.0100491      0.0100491              0              0
    6380    3134       0.011127       0.011127              0              0
    6380    3135      0.0122575      0.0122575              0              0
    6380    3136      0.0134415      0.0134415              0              0
