# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    3042              0              0           -nan           -nan
    6380    3043              0              0           -nan           -nan
    6380    3044              0              0           -nan           -nan
    6380    3045              0              0           -nan           -nan
    6380    3046              0              0           -nan           -nan
    6380    3047              0              0           -nan           -nan
    6380    3048              0              0           -nan           -nan
    6380    3049              0              0           -nan           -nan
    6380    3050              0              0           -nan           -nan
    6380    3051              0              0           -nan           -nan
    6380    3052              0              0           -nan           -nan
    6380    3053              0              0           -nan           -nan
    6380    3054              0              0           -nan           -nan
    6380    3055              0              0           -nan           -nan
    6380    3056              0              0           -nan           -nan
    6380    3057              0              0           -nan           -nan
    6380    3058              0              0           -nan           -nan
    6380    3059              0              0           -nan           -nan
    6380    3060              0              0           -nan           -nan
    6380    3061              0              0           -nan           -nan
    6380    3062              0              0           -nan           -nan
    6380    3063              0              0           -nan           -nan
    6380    3064              0              0           -nan           -nan
    6380    3065              0              0           -nan           -nan
    6380    3066              0              0           -nan           -nan
    6380    3067              0              0           -nan           -nan
    6380    3068              0              0           -nan           -nan
    6380    3069              0              0           -nan           -nan
    6380    3070              0              0           -nan           -nan
    6380    3071              0              0           -nan           -nan
    6380    3072              0              0           -nan           -nan
    6380    3073              0              0           -nan           -nan
    6380    3074              0              0           -nan           -nan
    6380    3075              0              0           -nan           -nan
    6380    3076              0              0           -nan           -nan
    6380    3077              0              0           -nan           -nan
    6380    3078              0              0           -nan           -nan
    6380    3079              0              0           -nan           -nan
    6380    3080              0              0           -nan           -nan
    6380    3081              0              0           -nan           -nan
    6380    3082              0              0           -nan           -nan
    6380    3083              0              0           -nan           -nan
    6380    3084              0              0           -nan           -nan
    6380    3085              0              0           -nan           -nan
    6380    3086              0              0           -nan           -nan
    6380    3087              0              0           -nan           -nan
    6380    3088              0              0           -nan           -nan
    6380    3089              0              0           -nan           -nan
    6380    3090              0              0           -nan           -nan
    6380    3091              0              0           -nan           -nan
    6380    3092              0              0           -nan           -nan
    6380    3093              0              0           -nan           -nan
    6380    3094              0              0           -nan           -nan
    6380    3095              0              0           -nan           -nan
    6380    3096              0              0           -nan           -nan
    6380    3097              0              0           -nan           -nan
    6380    3098              0              0           -nan           -nan
    6380    3099              0              0           -nan           -nan
    6380    3100              0              0           -nan           -nan
    6380    3101              0              0           -nan           -nan
    6380    3102              0              0           -nan           -nan
    6380    3103              0              0           -nan           -nan
    6380    3104              0              0           -nan           -nan
    6380    3105              0              0           -nan           -nan
    6380    3106              0              0           -nan           -nan
    6380    3107              0              0           -nan           -nan
    6380    3108              0              0           -nan           -nan
    6380    3109              0              0           -nan           -nan
    6380    3110              0              0           -nan           -nan
    6380    3111              0              0           -nan           -nan
    6380    3112              0              0           -nan           -nan
    6380    3113              0              0           -nan           -nan
    6380    3114              0              0           -nan           -nan
    6380    3115              0              0           -nan           -nan
    6380    3116              0              0           -nan           -nan
    6380    3117              0              0           -nan           -nan
    6380    3118    9.35553e-07    9.35553e-07              0              0
    6380    3119   -2.32189e-06   -2.32189e-06              0              0
    6380    3120   -1.33917e-05   -1.33917e-05              0              0
    6380    3121   -2.80622e-05   -2.80622e-05              0              0
    6380    3122   -4.56578e-05   -4.56578e-05              0              0
    6380    3123    -6.5862e-05    -6.5862e-05              0              0
    6380    3124    -8.8498e-05    -8.8498e-05              0              0
    6380    3125    -0.00011346    -0.00011346              0              0
    6380    3126   -0.000140684   -0.000140684              0              0
    6380    3127   -0.000170135   -0.000170135              0              0
    6380    3128   -0.000201797   -0.000201797              0              0
    6380    3129   -0.000235667   -0.000235667              0              0
    6380    3130   -0.000271756   -0.000271756              0              0
    6380    3131   -0.000310084   -0.000310084              0              0
    6380    3132    -0.00035068    -0.00035068              0              0
    6380    3133   -0.000393578   -0.000393578              0              0
    6380    3134    -0.00043882    -0.00043882              0              0
    6380    3135   -0.000486455   -0.000486455              0              0
    6380    3136   -0.000536535   -0.000536535              0              0
    6380    3137   -0.000589121   -0.000589121              0              0
    6380    3138   -0.000644276   -0.000644276              0              0
    6380    3139   -0.000702069   -0.000702069              0              0
    6380    3140   -0.000762576   -0.000762576              0              0
    6380    3141   -0.000825876   -0.000825876              0              0
    6380    3142   -0.000892052   -0.000892052              0              0
    6380    3143   -0.000961194   -0.000961194              0              0
    6380    3144     -0.0010334     -0.0010334              0              0
    6380    3145    -0.00110876    -0.00110876              0              0
    6380    3146    -0.00118738    -0.00118738              0              0
    6380    3147    -0.00126938    -0.00126938              0              0
    6380    3148    -0.00135486    -0.00135486              0              0
    6380    3149    -0.00144395    -0.00144395              0              0
    6380    3150    -0.00153676    -0.00153676              0              0
    6380    3151    -0.00163342    -0.00163342              0              0
    6380    3152    -0.00173407    -0.00173407              0              0
    6380    3153    -0.00183883    -0.00183883              0              0
    6380    3154    -0.00194785    -0.00194785              0              0
    6380    3155    -0.00206126    -0.00206126              0              0
    6380    3156    -0.00217921    -0.00217921              0              0
    6380    3157    -0.00230185    -0.00230185              0              0
    6380    3158    -0.00242932    -0.00242932              0              0
    6380    3159    -0.00256177    -0.00256177              0              0
    6380    3160    -0.00269935    -0.00269935              0              0
    6380    3161    -0.00284219    -0.00284219              0              0
    6380    3162    -0.00299044    -0.00299044              0              0
    6380    3163    -0.00314424    -0.00314424              0              0
    6380    3164    -0.00330371    -0.00330371              0              0
    6380    3165    -0.00346899    -0.00346899              0              0
    6380    3166    -0.00364016    -0.00364016              0              0
    6380    3167    -0.00381734    -0.00381734              0              0
    6380    3168    -0.00400061    -0.00400061              0              0
    6380    3169    -0.00419002    -0.00419002              0              0
    6380    3170    -0.00438561    -0.00438561              0              0
    6380    3171    -0.00458739    -0.00458739              0              0
    6380    3172    -0.00479536    -0.00479536              0              0
    6380    3173    -0.00500944    -0.00500944              0              0
    6380    3174    -0.00522956    -0.00522956              0              0
    6380    3175    -0.00545557    -0.00545557              0              0
    6380    3176    -0.00568729    -0.00568729              0              0
    6380    3177    -0.00592448    -0.00592448              0              0
    6380    3178    -0.00616685    -0.00616685              0              0
    6380    3179    -0.00641404    -0.00641404              0              0
    6380    3180    -0.00666562    -0.00666562              0              0
    6380    3181     -0.0069211     -0.0069211              0              0
    6380    3182     -0.0071799     -0.0071799              0              0
    6380    3183    -0.00744138    -0.00744138              0              0
    6380    3184    -0.00770481    -0.00770481              0              0
    6380    3185    -0.00796939    -0.00796939              0              0
    6380    3186    -0.00823425    -0.00823425              0              0
    6380    3187    -0.00849842    -0.00849842              0              0
    6380    3188     -0.0087609     -0.0087609              0              0
    6380    3189    -0.00902058    -0.00902058              0              0
    6380    3190    -0.00927635    -0.00927635              0              0
    6380    3191    -0.00952702    -0.00952702              0              0
    6380    3192    -0.00977139    -0.00977139              0              0
    6380    3193     -0.0100082     -0.0100082              0              0
    6380    3194     -0.0102363     -0.0102363              0              0
    6380    3195     -0.0104545     -0.0104545              0              0
    6380    3196     -0.0106616     -0.0106616              0              0
    6380    3197     -0.0108564     -0.0108564              0              0
    6380    3198      -0.011038      -0.011038              0              0
    6380    3199     -0.0112055     -0.0112055              0              0
    6380    3200     -0.0113579     -0.0113579              0              0
    6380    3201     -0.0114947     -0.0114947              0              0
    6380    3202     -0.0116152     -0.0116152              0              0
    6380    3203      -0.011719      -0.011719              0              0
    6380    3204     -0.0118058     -0.0118058              0              0
    6380    3205     -0.0118755     -0.0118755              0              0
    6380    3206      -0.011928      -0.011928              0              0
    6380    3207     -0.0119636     -0.0119636              0              0
    6380    3208     -0.0119824     -0.0119824              0              0
    6380    3209     -0.0119849     -0.0119849              0              0
    6380    3210     -0.0119717     -0.0119717              0              0
    6380    3211     -0.0119433     -0.0119433              0              0
    6380    3212     -0.0119006     -0.0119006              0              0
    6380    3213     -0.0118444     -0.0118444              0              0
    6380    3214     -0.0117756     -0.0117756              0              0
    6380    3215      -0.011695      -0.011695              0              0
    6380    3216     -0.0116037     -0.0116037              0              0
    6380    3217     -0.0115026     -0.0115026              0              0
    6380    3218     -0.0113928     -0.0113928              0              0
    6380    3219     -0.0112751     -0.0112751              0              0
    6380    3220     -0.0111505     -0.0111505              0              0
    6380    3221       -0.01102       -0.01102              0              0
    6380    3222     -0.0108844     -0.0108844              0              0
    6380    3223     -0.0107445     -0.0107445              0              0
    6380    3224     -0.0106011     -0.0106011              0              0
    6380    3225      -0.010455      -0.010455              0              0
    6380    3226     -0.0103069     -0.0103069              0              0
    6380    3227     -0.0101573     -0.0101573              0              0
    6380    3228     -0.0100069     -0.0100069              0              0
    6380    3229    -0.00985623    -0.00985623              0              0
    6380    3230     -0.0097057     -0.0097057              0              0
    6380    3231    -0.00955579    -0.00955579              0              0
    6380    3232    -0.00940686    -0.00940686              0              0
    6380    3233    -0.00925927    -0.00925927              0              0
